"","X","date","age_group","n.first_dose","n.second_dose","first_dose","second_dose","Poblacion","n.first_dose_perc","n.second_dose_perc","first_dose_perc","second_dose_perc","Country"
"255",255,"2021-02-16","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"256",256,"2021-02-16","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"257",257,"2021-02-16","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"258",258,"2021-02-16","Total",0,26831,0,1096922,41965591,0,0.000639357134276984,0,0.026138604839379,"Spain"
"259",259,"2021-02-17","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"260",260,"2021-02-17","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"261",261,"2021-02-17","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"262",262,"2021-02-17","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"263",263,"2021-02-17","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"264",264,"2021-02-17","Total",0,22258,0,1119180,41965591,0,0.000530386906739857,0,0.0266689917461189,"Spain"
"265",265,"2021-02-18","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"266",266,"2021-02-18","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"267",267,"2021-02-18","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"268",268,"2021-02-18","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"269",269,"2021-02-18","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"270",270,"2021-02-18","Total",0,25376,0,1144556,41965591,0,0.000604685872289991,0,0.0272736776184089,"Spain"
"271",271,"2021-02-19","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"272",272,"2021-02-19","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"273",273,"2021-02-19","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"274",274,"2021-02-19","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"275",275,"2021-02-19","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"276",276,"2021-02-19","Total",0,26470,0,1171026,41965591,0,0.000630754848656844,0,0.0279044324670657,"Spain"
"277",277,"2021-02-20","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"278",278,"2021-02-20","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"279",279,"2021-02-20","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"280",280,"2021-02-20","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"281",281,"2021-02-20","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"282",282,"2021-02-20","Total",0,0,0,1171026,41965591,0,0,0,0.0279044324670657,"Spain"
"283",283,"2021-02-21","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"284",284,"2021-02-21","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"285",285,"2021-02-21","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"286",286,"2021-02-21","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"287",287,"2021-02-21","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"288",288,"2021-02-21","Total",0,0,0,1171026,41965591,0,0,0,0.0279044324670657,"Spain"
"289",289,"2021-02-22","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"290",290,"2021-02-22","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"291",291,"2021-02-22","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"292",292,"2021-02-22","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"293",293,"2021-02-22","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"294",294,"2021-02-22","Total",0,26035,0,1197061,41965591,0,0.000620389213629804,0,0.0285248216806955,"Spain"
"295",295,"2021-02-23","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"296",296,"2021-02-23","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"297",297,"2021-02-23","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
